% degree2minor
C,C#
C#,D
D,D#
D#,E
E,F
F,F#
F#,G
G,G#
G#,A
A,A#
A#,B
B,C
% degree2major
C,D
C#,D#
D,E
D#,F
E,F#
F,G
F#,G#
G,A
G#,A#
A,B
A#,C
B,C#
% degree3minor
C,D#
C#,F
D,F#
D#,G
E,G#
F,A
F#,A#
G,B
G#,C
A,C#
A#,D
B,D#
% degree3major
C,E
C#,F
D,F#
D#,G
E,G#
F,A
F#,A#
G,B
G#,C
A,C#
A#,D
B,D#
% degree4minor
C,E
C#,F
D,F#
D#,G
E,G#
F,A
F#,A#
G,B
G#,C
A,C#
A#,D
B,D#
% degree4major
C,F
C#,F#
D,G
D#,G#
E,A
F,A#
F#,B
G,C
G#,C#
A,D
A#,D#
B,E
% degree5minor
C,F#
C#,G
D,G#
D#,A
E,A#
F,B
F#,C
G,C#
G#,D
A,D#
A#,E
B,F
% degree5major
C,G
C#,G#
D,A
D#,A#
E,B
F,C
F#,C#
G,D
G#,D#
A,E
A#,F
B,F#
% degree6minor
C,G#
C#,A
D,A#
D#,B
E,C
F,C#
F#,D
G,D#
G#,E
A,F
A#,F#
B,G
% degree6major
C,A
C#,A#
D,B
D#,C
E,C#
F,D
F#,D#
G,E
G#,F
A,F#
A#,G
B,G#
% degree7minor
C,A#
C#,B
D,C
D#,C#
E,D
F,D#
F#,E
G,F
G#,F#
A,G
A#,G#
B,A
% degree7major
C,B
C#,C
D,C#
D#,D
E,D#
F,E
F#,F
G,F#
G#,G
A,G#
A#,A
B,A#
